OBJECTID,fieldname,platformtypename,tracknumber,uniqueidentifier,symbolcode,alertcode,speed,notes,altitude_m,estpoints,created_user,created_date,last_edited_user,last_edited_date,class,DateTimeSim,Distance_1_sec,BEARING,X,Y,POINT_Z,PlatformName,Speed_km_hr
566,Serpent2,Ship,T3470,Serpent200,SNSPCP---------,non-suspect,40,,0,10466.44815,,,,,MY,10/15/2020 17:47,1111.111111,250.2011223,111.251472,5.708288037,0,"u""""Serpent2""""",4000
567,FLANKER-3,Aircraft,T5528,FLANKER-30,SHACMFFI-------,target,525,,5000,14924.75879,,,,,CN,10/15/2020 17:47,14583.33333,145.0089863,111.8081129,16.44708861,0,"u""""FLANKER-3""""",52500
568,Flanker-1,Aircraft,T7728,Flanker-10,SHACMFFI-------,suspected,525,,5000,13950.03268,SDE,9/18/2020 4:45,jfaeglos,9/18/2020 21:42,CN,10/15/2020 17:47,14583.33333,160.0249184,111.3976406,15.65114192,0,"u""""Flanker-1""""",52500
569,Xianning,Ship,T6330,Xianning00,SHSPCLFF-------,non-suspect,45,,0,11976.01045,,,,,,10/15/2020 17:47,1250,250.573496,111.7705353,5.758569402,0,"u""""Xianning""""",4500
570,RedDragon3,Aircraft,T3411,RedDragon3,SHACMFPN-------,target,500,,5000,11343.84338,,,,,CN,10/15/2020 17:47,13888.88889,120.0685828,115.2192207,19.51036482,0,"u""""RedDragon3""""",50000
571,Serpent1,Ship,T9458,Serpent100,SNSPCP---------,non-suspect,35,,0,10221.66546,,,,,MY,10/15/2020 17:47,972.2222222,228.0411016,111.9049017,5.995632046,0,"u""""Serpent1""""",3500
572,Red Orchid,Aircraft,T5438,Red Orchid,SHACMFR--------,suspected,500,,8000,11431.98229,,,,,CN,10/15/2020 17:47,13888.88889,252.9794747,119.5500394,24.26906894,0,"u""""Red Orchid""""",50000
573,Eagle1,Aircraft,T4428,Eagle10000,SFACMFR--------,non-suspect,600,,5000,9207.489994,,,,,US,10/15/2020 17:47,16666.66667,239.5344551,123.3985233,27.09615053,0,"u""""Eagle1""""",60000
574,Utter51,Aircraft,T4919,Utter51000,SFACMFRZ-------,non-suspect,500,,10000,9298.264261,,,,,US,10/15/2020 17:47,13888.88889,147.7998953,116.4181844,22.08425258,0,"u""""Utter51""""",50000
575,Shang1,Ship,T0527,Shang10000,SHUPSNA--------,high-interest,35,,-50,10749.04243,jfaeglos,9/18/2020 14:41,jfaeglos,9/18/2020 21:28,CN,10/15/2020 17:47,972.2222222,108.3535731,110.5188565,17.32373717,0,"u""""Shang1""""",3500
576,SeaSerpent2,Ship,T4833,SeaSerpent,SHUPSNM--------,high-interest,50,,-15,10798.3485,,,,,CN,10/15/2020 17:47,1388.888889,167.0788477,113.3985456,20.02291544,0,"u""""SeaSerpent2""""",5000
577,JUMPY26,Aircraft,T8301,JUMPY26000,SFAFMFRZ-------,non-suspect,425,,5000,10739.32749,,,,,US,10/15/2020 17:47,11805.55556,183.6468003,112.5035373,16.03211423,0,"u""""JUMPY26""""",42500
578,SeaSquid,Ship,T2557,SeaSquid00,SHSCCLCC-------,suspected,65,,0,12387.79995,,,,,CN,10/15/2020 17:47,1805.555556,171.7485275,112.5324736,10.49474721,0,"u""""SeaSquid""""",6500
579,FLANKER-3,Aircraft,T5528,FLANKER-30,SHACMFFI-------,target,525,,5000,14924.75879,,,,,CN,10/15/2020 17:47,14583.33333,145.0089863,111.8832371,16.34412867,0,"u""""FLANKER-3""""",52500
580,Red Orchid,Aircraft,T5438,Red Orchid,SHACMFR--------,suspected,500,,8000,11431.98229,,,,,CN,10/15/2020 17:47,13888.88889,97.12501643,119.4394631,24.21887368,0,"u""""Red Orchid""""",50000
581,FLANKER-2,Aircraft,T5847,FLANKER-20,SHACMFFI-------,target,525,,5000,13987.81685,,,,,CN,10/15/2020 17:47,14583.33333,126.8698977,111.6238316,16.05080712,0,"u""""FLANKER-2""""",52500
582,Flanker-1,Aircraft,T7728,Flanker-10,SHACMFFI-------,suspected,525,,5000,13950.03268,SDE,9/18/2020 4:45,jfaeglos,9/18/2020 21:42,CN,10/15/2020 17:47,14583.33333,160.327437,111.4423932,15.53254952,0,"u""""Flanker-1""""",52500
583,UNK1,Aircraft,T3425,UNK1000000,SUAP-----------,suspected,350,,1000,8870.409078,,,,,,10/15/2020 17:47,9722.222222,18.43494845,115.0567554,9.519793059,0,"u""""UNK1""""",35000
584,UNKNOWN1,Aircraft,T3827,UNKNOWN100,SHAPMFR--------,target,450,,3500,10941.46837,,,,,CN,10/15/2020 17:47,12500,165.9637574,119.231817,22.78582422,0,"u""""UNKNOWN1""""",45000
585,Serpent1,Ship,T9458,Serpent100,SNSPCP---------,non-suspect,35,,0,10221.66546,,,,,MY,10/15/2020 17:47,972.2222222,228.0411012,111.8984072,5.989824681,0,"u""""Serpent1""""",3500
586,Serpent2,Ship,T3470,Serpent200,SNSPCP---------,non-suspect,40,,0,10466.44815,,,,,MY,10/15/2020 17:47,1111.111111,242.6740898,111.2420807,5.704923938,0,"u""""Serpent2""""",4000
587,Shang1,Ship,T0527,Shang10000,SHUPSNA--------,high-interest,35,,-50,10749.04243,jfaeglos,9/18/2020 14:41,jfaeglos,9/18/2020 21:28,CN,10/15/2020 17:47,972.2222222,108.3535731,110.5271458,17.32111186,0,"u""""Shang1""""",3500
588,Bengal1,Ship,T4011,Bengal1000,SFSCCLCC-------,non-suspect,40,,0,11938.84155,,,,,US,10/15/2020 17:47,1111.111111,184.4031476,131.9471057,30.39365689,0,"u""""Bengal1""""",4000
589,Eagle1,Aircraft,T4428,Eagle10000,SFACMFR--------,non-suspect,600,,5000,9207.489994,,,,,US,10/15/2020 17:47,16666.66667,239.5939534,123.2695918,27.02838682,0,"u""""Eagle1""""",60000
590,Utter51,Aircraft,T4919,Utter51000,SFACMFRZ-------,non-suspect,500,,10000,9298.264261,,,,,US,10/15/2020 17:47,13888.88889,147.799896,116.4640891,21.97832413,0,"u""""Utter51""""",50000
591,REAGANTF,Ship,T8585,REAGANTF00,SFSCGT---------,non-suspect,35,,0,11305.37977,,,,,US,10/15/2020 17:47,972.2222222,214.2214634,115.5104451,20.64785283,0,"u""""REAGANTF""""",3500
592,RedDragon3,Aircraft,T3411,RedDragon3,SHACMFPN-------,target,500,,5000,11343.84338,,,,,CN,10/15/2020 17:47,13888.88889,120.0685828,115.3271965,19.45143118,0,"u""""RedDragon3""""",50000
593,Xianning,Ship,T6330,Xianning00,SHSPCLFF-------,non-suspect,45,,0,11976.01045,,,,,,10/15/2020 17:47,1250,250.5734976,111.7599457,5.75485352,0,"u""""Xianning""""",4500
594,Dragon1,Aircraft,T5966,Dragon1000,SNACMFP--------,non-suspect,400,,5000,12158.58073,,,,,PH,10/15/2020 17:47,11111.11111,284.0362435,118.6048169,14.78333309,0,"u""""Dragon1""""",40000
595,RedDragon2,Ship,T8166,RedDragon2,SHSCCLDD-------,target,50,,0,11279.4988,,,,,CN,10/15/2020 17:47,1388.888889,37.44365485,111.6438676,17.86899512,0,"u""""RedDragon2""""",5000
596,IzumoDDH183,Ship,T4655,IzumoDDH18,SFSCCLCV-------,non-suspect,50,,0,12384.03289,,,,,JP,10/15/2020 17:47,1388.888889,126.3338833,124.1811917,23.82527927,0,"u""""IzumoDDH183""""",5000
597,RedTiger,Ship,T0976,RedTiger00,SHUCSNM--------,high-interest,35,,-50,11776.31968,,,,,CN,10/15/2020 17:47,972.2222222,138.6006797,122.4401512,26.63785813,0,"u""""RedTiger""""",3500
598,Albatross1,Aircraft,T2625,Albatross1,SNAPMFP--------,non-suspect,500,,5000,10969.89036,,,,,VN,10/15/2020 17:47,13888.88889,67.45947872,110.2068943,10.64654511,0,"u""""Albatross1""""",50000
599,Eagle2,Aircraft,T0182,Eagle20000,SFAPMFQR-------,non-suspect,570,,15000,13440.37585,,,,,US,10/15/2020 17:47,15833.33333,156.6659588,112.9714514,12.86807071,0,"u""""Eagle2""""",57000
600,DDG114RJ,Ship,T2122,DDG114RJ00,SFSPCLDD-------,non-suspect,45,,0,10728.10444,,,,,US,10/15/2020 17:47,1250,208.4374765,109.1029042,7.900647893,0,"u""""DDG114RJ""""",4500
601,FLANKER-2,Aircraft,T5847,FLANKER-20,SHACMFFI-------,target,525,,5000,13987.81685,,,,,CN,10/15/2020 17:47,14583.33333,126.8698977,111.7286351,15.9752544,0,"u""""FLANKER-2""""",52500
602,Flanker-1,Aircraft,T7728,Flanker-10,SHACMFFI-------,suspected,525,,5000,13950.03268,SDE,9/18/2020 4:45,jfaeglos,9/18/2020 21:42,CN,10/15/2020 17:47,14583.33333,161.4354431,111.4871457,15.41388886,0,"u""""Flanker-1""""",52500
603,Xianning,Ship,T6330,Xianning00,SHSPCLFF-------,non-suspect,45,,0,11976.01045,,,,,,10/15/2020 17:47,1250,250.5734991,111.749356,5.751137614,0,"u""""Xianning""""",4500
604,FLANKER-3,Aircraft,T5528,FLANKER-30,SHACMFFI-------,target,525,,5000,14924.75879,,,,,CN,10/15/2020 17:47,14583.33333,150.3051733,111.9583612,16.24111444,0,"u""""FLANKER-3""""",52500
605,Eagle1,Aircraft,T4428,Eagle10000,SFACMFR--------,non-suspect,600,,5000,9207.489994,,,,,US,10/15/2020 17:47,16666.66667,240.2551188,123.1405436,26.96074667,0,"u""""Eagle1""""",60000
606,SeaSquid,Ship,T2557,SeaSquid00,SHSCCLCC-------,suspected,65,,0,12387.79995,,,,,CN,10/15/2020 17:47,1805.555556,171.7485248,112.5348014,10.47896366,0,"u""""SeaSquid""""",6500
607,JUMPY26,Aircraft,T8301,JUMPY26000,SFAFMFRZ-------,non-suspect,425,,5000,10739.32749,,,,,US,10/15/2020 17:47,11805.55556,183.6468007,112.4967919,15.93036826,0,"u""""JUMPY26""""",42500
608,Bengal1,Ship,T4011,Bengal1000,SFSCCLCC-------,non-suspect,40,,0,11938.84155,,,,,US,10/15/2020 17:47,1111.111111,184.4031428,131.9463394,30.38507237,0,"u""""Bengal1""""",4000
609,Serpent1,Ship,T9458,Serpent100,SNSPCP---------,non-suspect,35,,0,10221.66546,,,,,MY,10/15/2020 17:47,972.2222222,228.0410968,111.8919127,5.984017255,0,"u""""Serpent1""""",3500
610,Dragon1,Aircraft,T5966,Dragon1000,SNACMFP--------,non-suspect,400,,5000,12158.58073,,,,,PH,10/15/2020 17:47,11111.11111,284.0362435,118.5079842,14.80673865,0,"u""""Dragon1""""",40000
611,SeaSerpent2,Ship,T4833,SeaSerpent,SHUPSNM--------,high-interest,50,,-15,10798.3485,,,,,CN,10/15/2020 17:47,1388.888889,167.0788419,113.4013355,20.01148939,0,"u""""SeaSerpent2""""",5000
612,RedDragon2,Ship,T8166,RedDragon2,SHSCCLDD-------,target,50,,0,11279.4988,,,,,CN,10/15/2020 17:47,1388.888889,37.44365813,111.6514531,17.87842283,0,"u""""RedDragon2""""",5000
613,REAGANTF,Ship,T8585,REAGANTF00,SFSCGT---------,non-suspect,35,,0,11305.37977,,,,,US,10/15/2020 17:47,972.2222222,214.221465,115.5055333,20.64109499,0,"u""""REAGANTF""""",3500
614,UNK1,Aircraft,T3425,UNK1000000,SUAP-----------,suspected,350,,1000,8870.409078,,,,,,10/15/2020 17:47,9722.222222,18.4349492,115.0684766,9.605119565,0,"u""""UNK1""""",35000
615,RedTiger,Ship,T0976,RedTiger00,SHUCSNM--------,high-interest,35,,-50,11776.31968,,,,,CN,10/15/2020 17:47,972.2222222,138.6006797,122.4459267,26.63200209,0,"u""""RedTiger""""",3500
616,Serpent2,Ship,T3470,Serpent200,SNSPCP---------,non-suspect,40,,0,10466.44815,,,,,MY,10/15/2020 17:47,1111.111111,225.0000036,111.2326895,5.70155982,0,"u""""Serpent2""""",4000
617,DDG114RJ,Ship,T2122,DDG114RJ00,SFSPCLDD-------,non-suspect,45,,0,10728.10444,,,,,US,10/15/2020 17:47,1250,208.4374787,109.097557,7.890867476,0,"u""""DDG114RJ""""",4500
618,IzumoDDH183,Ship,T4655,IzumoDDH18,SFSCCLCV-------,non-suspect,50,,0,12384.03289,,,,,JP,10/15/2020 17:47,1388.888889,126.3338833,124.1912425,23.81851679,0,"u""""IzumoDDH183""""",5000
619,Utter51,Aircraft,T4919,Utter51000,SFACMFRZ-------,non-suspect,500,,10000,9298.264261,,,,,US,10/15/2020 17:47,13888.88889,147.799896,116.5305741,21.88038707,0,"u""""Utter51""""",50000
620,Albatross1,Aircraft,T2625,Albatross1,SNAPMFP--------,non-suspect,500,,5000,10969.89036,,,,,VN,10/15/2020 17:47,13888.88889,64.78185274,110.3214581,10.6944675,0,"u""""Albatross1""""",50000
621,Shang1,Ship,T0527,Shang10000,SHUPSNA--------,high-interest,35,,-50,10749.04243,jfaeglos,9/18/2020 14:41,jfaeglos,9/18/2020 21:28,CN,10/15/2020 17:47,972.2222222,108.3535731,110.5354352,17.31848651,0,"u""""Shang1""""",3500
622,RedDragon3,Aircraft,T3411,RedDragon3,SHACMFPN-------,target,500,,5000,11343.84338,,,,,CN,10/15/2020 17:47,13888.88889,120.0685828,115.4351723,19.39247613,0,"u""""RedDragon3""""",50000
623,Eagle2,Aircraft,T0182,Eagle20000,SFAPMFQR-------,non-suspect,570,,15000,13440.37585,,,,,US,10/15/2020 17:47,15833.33333,156.6659587,112.9631852,12.73957244,0,"u""""Eagle2""""",57000
624,UNKNOWN1,Aircraft,T3827,UNKNOWN100,SHAPMFR--------,target,450,,3500,10941.46837,,,,,CN,10/15/2020 17:47,12500,166.6513837,119.3253708,22.73006501,0,"u""""UNKNOWN1""""",45000
625,Red Orchid,Aircraft,T5438,Red Orchid,SHACMFR--------,suspected,500,,8000,11431.98229,,,,,CN,10/15/2020 17:47,13888.88889,245.4925948,119.3201618,24.18556291,0,"u""""Red Orchid""""",50000
626,Albatross1,Aircraft,T2625,Albatross1,SNAPMFP--------,non-suspect,500,,5000,10969.89036,,,,,VN,10/15/2020 17:47,13888.88889,73.15608357,110.4408714,10.72999036,0,"u""""Albatross1""""",50000
627,Dragon1,Aircraft,T5966,Dragon1000,SNACMFP--------,non-suspect,400,,5000,12158.58073,,,,,PH,10/15/2020 17:47,11111.11111,282.1970069,118.4111516,14.83014167,0,"u""""Dragon1""""",40000
628,Serpent1,Ship,T9458,Serpent100,SNSPCP---------,non-suspect,35,,0,10221.66546,,,,,MY,10/15/2020 17:47,972.2222222,228.0410973,111.8854181,5.978209765,0,"u""""Serpent1""""",3500
629,Eagle2,Aircraft,T0182,Eagle20000,SFAPMFQR-------,non-suspect,570,,15000,13440.37585,,,,,US,10/15/2020 17:47,15833.33333,156.6659589,113.0195225,12.61215541,0,"u""""Eagle2""""",57000
630,UNKNOWN1,Aircraft,T3827,UNKNOWN100,SHAPMFR--------,target,450,,3500,10941.46837,,,,,CN,10/15/2020 17:47,12500,168.8513143,119.4000813,22.65415147,0,"u""""UNKNOWN1""""",45000
631,Utter51,Aircraft,T4919,Utter51000,SFACMFRZ-------,non-suspect,500,,10000,9298.264261,,,,,US,10/15/2020 17:47,13888.88889,139.9815607,116.5970591,21.78238273,0,"u""""Utter51""""",50000
632,Shang1,Ship,T0527,Shang10000,SHUPSNA--------,high-interest,35,,-50,10749.04243,jfaeglos,9/18/2020 14:41,jfaeglos,9/18/2020 21:28,CN,10/15/2020 17:47,972.2222222,108.3535675,110.5437246,17.31586112,0,"u""""Shang1""""",3500
633,Eagle1,Aircraft,T4428,Eagle10000,SFACMFR--------,non-suspect,600,,5000,9207.489994,,,,,US,10/15/2020 17:47,16666.66667,240.2551187,123.0114175,26.89318583,0,"u""""Eagle1""""",60000
634,Xianning,Ship,T6330,Xianning00,SHSPCLFF-------,non-suspect,45,,0,11976.01045,,,,,,10/15/2020 17:47,1250,250.573496,111.7387663,5.747421685,0,"u""""Xianning""""",4500
635,Serpent2,Ship,T3470,Serpent200,SNSPCP---------,non-suspect,40,,0,10466.44815,,,,,MY,10/15/2020 17:47,1111.111111,225,111.2240016,5.697092858,0,"u""""Serpent2""""",4000
636,FLANKER-2,Aircraft,T5847,FLANKER-20,SHACMFFI-------,target,525,,5000,13987.81685,,,,,CN,10/15/2020 17:47,14583.33333,138.8140752,111.8334386,15.89967315,0,"u""""FLANKER-2""""",52500
637,FLANKER-3,Aircraft,T5528,FLANKER-30,SHACMFFI-------,target,525,,5000,14924.75879,,,,,CN,10/15/2020 17:47,14583.33333,150.3051731,112.0247055,16.1327056,0,"u""""FLANKER-3""""",52500
638,Red Orchid,Aircraft,T5438,Red Orchid,SHACMFR--------,suspected,500,,8000,11431.98229,,,,,CN,10/15/2020 17:47,13888.88889,245.4925947,119.2018304,24.14990942,0,"u""""Red Orchid""""",50000
639,SeaSquid,Ship,T2557,SeaSquid00,SHSCCLCC-------,suspected,65,,0,12387.79995,,,,,CN,10/15/2020 17:47,1805.555556,171.7485275,112.5371292,10.4631793,0,"u""""SeaSquid""""",6500
640,RedDragon3,Aircraft,T3411,RedDragon3,SHACMFPN-------,target,500,,5000,11343.84338,,,,,CN,10/15/2020 17:47,13888.88889,120.0685828,115.5431481,19.33349972,0,"u""""RedDragon3""""",50000
641,SeaSerpent2,Ship,T4833,SeaSerpent,SHUPSNM--------,high-interest,50,,-15,10798.3485,,,,,CN,10/15/2020 17:47,1388.888889,167.0788468,113.4041254,20.00006251,0,"u""""SeaSerpent2""""",5000
642,REAGANTF,Ship,T8585,REAGANTF00,SFSCGT---------,non-suspect,35,,0,11305.37977,,,,,US,10/15/2020 17:47,972.2222222,210.8840791,115.5006216,20.63433684,0,"u""""REAGANTF""""",3500
643,Flanker-1,Aircraft,T7728,Flanker-10,SHACMFFI-------,suspected,525,,5000,13950.03268,SDE,9/18/2020 4:45,jfaeglos,9/18/2020 21:42,CN,10/15/2020 17:47,14583.33333,161.4354428,111.5312454,15.29494021,0,"u""""Flanker-1""""",52500
644,RedDragon2,Ship,T8166,RedDragon2,SHSCCLDD-------,target,50,,0,11279.4988,,,,,CN,10/15/2020 17:47,1388.888889,37.44365813,111.6590387,17.88785005,0,"u""""RedDragon2""""",5000
645,DDG114RJ,Ship,T2122,DDG114RJ00,SFSPCLDD-------,non-suspect,45,,0,10728.10444,,,,,US,10/15/2020 17:47,1250,172.2678098,109.0922098,7.881086827,0,"u""""DDG114RJ""""",4500
646,UNK1,Aircraft,T3425,UNK1000000,SUAP-----------,suspected,350,,1000,8870.409078,,,,,,10/15/2020 17:47,9722.222222,7.714330971,115.0800193,9.690465248,0,"u""""UNK1""""",35000
647,Bengal1,Ship,T4011,Bengal1000,SFSCCLCC-------,non-suspect,40,,0,11938.84155,,,,,US,10/15/2020 17:47,1111.111111,184.4031425,131.9455731,30.3764871,0,"u""""Bengal1""""",4000
648,JUMPY26,Aircraft,T8301,JUMPY26000,SFAFMFRZ-------,non-suspect,425,,5000,10739.32749,,,,,US,10/15/2020 17:47,11805.55556,183.6468003,112.4900464,15.82857068,0,"u""""JUMPY26""""",42500
649,RedTiger,Ship,T0976,RedTiger00,SHUCSNM--------,high-interest,35,,-50,11776.31968,,,,,CN,10/15/2020 17:47,972.2222222,138.6006797,122.4517023,26.62614575,0,"u""""RedTiger""""",3500
650,IzumoDDH183,Ship,T4655,IzumoDDH18,SFSCCLCV-------,non-suspect,50,,0,12384.03289,,,,,JP,10/15/2020 17:47,1388.888889,126.3338824,124.2012934,23.81175396,0,"u""""IzumoDDH183""""",5000
651,Albatross1,Aircraft,T2625,Albatross1,SNAPMFP--------,non-suspect,500,,5000,10969.89036,,,,,VN,10/15/2020 17:47,13888.88889,73.15608357,110.5602847,10.76550904,0,"u""""Albatross1""""",50000
652,Eagle1,Aircraft,T4428,Eagle10000,SFACMFR--------,non-suspect,600,,5000,9207.489994,,,,,US,10/15/2020 17:47,16666.66667,232.7365598,122.8814249,26.82691834,0,"u""""Eagle1""""",60000
653,RedDragon2,Ship,T8166,RedDragon2,SHSCCLDD-------,target,50,,0,11279.4988,,,,,CN,10/15/2020 17:47,1388.888889,37.44365158,111.6666242,17.89727677,0,"u""""RedDragon2""""",5000
654,IzumoDDH183,Ship,T4655,IzumoDDH18,SFSCCLCV-------,non-suspect,50,,0,12384.03289,,,,,JP,10/15/2020 17:47,1388.888889,126.3338824,124.2113443,23.80499078,0,"u""""IzumoDDH183""""",5000
655,REAGANTF,Ship,T8585,REAGANTF00,SFSCGT---------,non-suspect,35,,0,11305.37977,,,,,US,10/15/2020 17:47,972.2222222,202.1997923,115.4957099,20.6275784,0,"u""""REAGANTF""""",3500
656,Eagle2,Aircraft,T0182,Eagle20000,SFAPMFQR-------,non-suspect,570,,15000,13440.37585,,,,,US,10/15/2020 17:47,15833.33333,156.6659587,113.0758598,12.48467494,0,"u""""Eagle2""""",57000
657,FLANKER-3,Aircraft,T5528,FLANKER-30,SHACMFFI-------,target,525,,5000,14924.75879,,,,,CN,10/15/2020 17:47,14583.33333,150.3051732,112.0896024,16.02335654,0,"u""""FLANKER-3""""",52500
658,Serpent2,Ship,T3470,Serpent200,SNSPCP---------,non-suspect,40,,0,10466.44815,,,,,MY,10/15/2020 17:47,1111.111111,225,111.2169437,5.690069845,0,"u""""Serpent2""""",4000
659,SeaSerpent2,Ship,T4833,SeaSerpent,SHUPSNM--------,high-interest,50,,-15,10798.3485,,,,,CN,10/15/2020 17:47,1388.888889,167.0788459,113.4069153,19.9886348,0,"u""""SeaSerpent2""""",5000
660,Utter51,Aircraft,T4919,Utter51000,SFACMFRZ-------,non-suspect,500,,10000,9298.264261,,,,,US,10/15/2020 17:47,13888.88889,140.5541565,116.6748661,21.69198561,0,"u""""Utter51""""",50000
661,RedDragon3,Aircraft,T3411,RedDragon3,SHACMFPN-------,target,500,,5000,11343.84338,,,,,CN,10/15/2020 17:47,13888.88889,120.0685828,115.6511239,19.274502,0,"u""""RedDragon3""""",50000
662,DDG114RJ,Ship,T2122,DDG114RJ00,SFSPCLDD-------,non-suspect,45,,0,10728.10444,,,,,US,10/15/2020 17:47,1250,162.9956952,109.0868626,7.871305947,0,"u""""DDG114RJ""""",4500
663,Serpent1,Ship,T9458,Serpent100,SNSPCP---------,non-suspect,35,,0,10221.66546,,,,,MY,10/15/2020 17:47,972.2222222,210.8926101,111.8789236,5.972402216,0,"u""""Serpent1""""",3500
664,Red Orchid,Aircraft,T5438,Red Orchid,SHACMFR--------,suspected,500,,8000,11431.98229,,,,,CN,10/15/2020 17:47,13888.88889,245.4925953,119.0883049,24.10267603,0,"u""""Red Orchid""""",50000
665,JUMPY26,Aircraft,T8301,JUMPY26000,SFAFMFRZ-------,non-suspect,425,,5000,10739.32749,,,,,US,10/15/2020 17:47,11805.55556,179.71383,112.4833009,15.7267218,0,"u""""JUMPY26""""",42500
666,Xianning,Ship,T6330,Xianning00,SHSPCLFF-------,non-suspect,45,,0,11976.01045,,,,,,10/15/2020 17:47,1250,250.5735019,111.7281767,5.74370573,0,"u""""Xianning""""",4500
667,Flanker-1,Aircraft,T7728,Flanker-10,SHACMFFI-------,suspected,525,,5000,13950.03268,SDE,9/18/2020 4:45,jfaeglos,9/18/2020 21:42,CN,10/15/2020 17:47,14583.33333,161.4354429,111.5729536,15.17511711,0,"u""""Flanker-1""""",52500
668,Shang1,Ship,T0527,Shang10000,SHUPSNA--------,high-interest,35,,-50,10749.04243,jfaeglos,9/18/2020 14:41,jfaeglos,9/18/2020 21:28,CN,10/15/2020 17:47,972.2222222,108.3535712,110.5520139,17.3132357,0,"u""""Shang1""""",3500
669,Bengal1,Ship,T4011,Bengal1000,SFSCCLCC-------,non-suspect,40,,0,11938.84155,,,,,US,10/15/2020 17:47,1111.111111,184.403148,131.9448068,30.36790108,0,"u""""Bengal1""""",4000
670,UNK1,Aircraft,T3425,UNK1000000,SUAP-----------,suspected,350,,1000,8870.409078,,,,,,10/15/2020 17:47,9722.222222,7.59464294,115.091562,9.775789226,0,"u""""UNK1""""",35000
671,Dragon1,Aircraft,T5966,Dragon1000,SNACMFP--------,non-suspect,400,,5000,12158.58073,,,,,PH,10/15/2020 17:47,11111.11111,277.9434721,118.3143189,14.85354217,0,"u""""Dragon1""""",40000
672,UNKNOWN1,Aircraft,T3827,UNKNOWN100,SHAPMFR--------,target,450,,3500,10941.46837,,,,,CN,10/15/2020 17:47,12500,178.0003209,119.4501757,22.56195368,0,"u""""UNKNOWN1""""",45000
673,RedTiger,Ship,T0976,RedTiger00,SHUCSNM--------,high-interest,35,,-50,11776.31968,,,,,CN,10/15/2020 17:47,972.2222222,138.6006797,122.4574779,26.62028911,0,"u""""RedTiger""""",3500
674,FLANKER-2,Aircraft,T5847,FLANKER-20,SHACMFFI-------,target,525,,5000,13987.81685,,,,,CN,10/15/2020 17:47,14583.33333,138.8140749,111.9274948,15.81291345,0,"u""""FLANKER-2""""",52500
675,SeaSquid,Ship,T2557,SeaSquid00,SHSCCLCC-------,suspected,65,,0,12387.79995,,,,,CN,10/15/2020 17:47,1805.555556,171.7485275,112.539457,10.44739413,0,"u""""SeaSquid""""",6500
676,Albatross1,Aircraft,T2625,Albatross1,SNAPMFP--------,non-suspect,500,,5000,10969.89036,,,,,VN,10/15/2020 17:47,13888.88889,73.15608357,110.664356,10.82931661,0,"u""""Albatross1""""",50000
677,REAGANTF,Ship,T8585,REAGANTF00,SFSCGT---------,non-suspect,35,,0,11305.37977,,,,,US,10/15/2020 17:47,972.2222222,202.1997945,115.4912467,20.62059446,0,"u""""REAGANTF""""",3500
678,FLANKER-2,Aircraft,T5847,FLANKER-20,SHACMFFI-------,target,525,,5000,13987.81685,,,,,CN,10/15/2020 17:47,14583.33333,138.8140749,112.0137617,15.71803147,0,"u""""FLANKER-2""""",52500
679,FLANKER-3,Aircraft,T5528,FLANKER-30,SHACMFFI-------,target,525,,5000,14924.75879,,,,,CN,10/15/2020 17:47,14583.33333,142.202042,112.1544994,15.91394751,0,"u""""FLANKER-3""""",52500
680,SeaSerpent2,Ship,T4833,SeaSerpent,SHUPSNM--------,high-interest,50,,-15,10798.3485,,,,,CN,10/15/2020 17:47,1388.888889,167.0788428,113.4097052,19.97720626,0,"u""""SeaSerpent2""""",5000
681,Serpent2,Ship,T3470,Serpent200,SNSPCP---------,non-suspect,40,,0,10466.44815,,,,,MY,10/15/2020 17:47,1111.111111,225,111.2098859,5.683046746,0,"u""""Serpent2""""",4000
682,Eagle2,Aircraft,T0182,Eagle20000,SFAPMFQR-------,non-suspect,570,,15000,13440.37585,,,,,US,10/15/2020 17:47,15833.33333,156.6659587,113.1321972,12.35713165,0,"u""""Eagle2""""",57000
683,JUMPY26,Aircraft,T8301,JUMPY26000,SFAFMFRZ-------,non-suspect,425,,5000,10739.32749,,,,,US,10/15/2020 17:47,11805.55556,164.3222374,112.4765555,15.62482192,0,"u""""JUMPY26""""",42500
684,Flanker-1,Aircraft,T7728,Flanker-10,SHACMFFI-------,suspected,525,,5000,13950.03268,SDE,9/18/2020 4:45,jfaeglos,9/18/2020 21:42,CN,10/15/2020 17:47,14583.33333,161.4354431,111.6146618,15.055226,0,"u""""Flanker-1""""",52500
685,RedDragon2,Ship,T8166,RedDragon2,SHSCCLDD-------,target,50,,0,11279.4988,,,,,CN,10/15/2020 17:47,1388.888889,37.44365158,111.6742098,17.90670298,0,"u""""RedDragon2""""",5000
686,Dragon1,Aircraft,T5966,Dragon1000,SNACMFP--------,non-suspect,400,,5000,12158.58073,,,,,PH,10/15/2020 17:47,11111.11111,277.9434716,118.2168754,14.87390008,0,"u""""Dragon1""""",40000
687,Shang1,Ship,T0527,Shang10000,SHUPSNA--------,high-interest,35,,-50,10749.04243,jfaeglos,9/18/2020 14:41,jfaeglos,9/18/2020 21:28,CN,10/15/2020 17:47,972.2222222,108.3535712,110.5603033,17.31061024,0,"u""""Shang1""""",3500
